ID;PAY;CNT;PAY_DATE
1;31,5778236;25;01.01.2012
2;108,1086272;133;02.01.2012
3;53,862104;51;03.01.2012
4;143,8576564;106;04.01.2012
5;172,5295426;165;05.01.2012
6;212,7708146;158;06.01.2012
7;67,830331;54;07.01.2012
8;104,0362198;88;08.01.2012
9;36716,51941;35875;09.01.2012
10;43567,55771;41295;10.01.2012
11;36192,56225;33181;11.01.2012
12;34320,71921;33397;12.01.2012
13;36181,95438;39131;13.01.2012
14;38536,05477;43110;14.01.2012
15;4292,594873;5051;15.01.2012
16;55669,06796;69204;16.01.2012
17;60426,41151;72694;17.01.2012
18;60488,59768;71412;18.01.2012
19;56429,96051;64818;19.01.2012
20;50835,68492;57296;20.01.2012
21;43391,93802;44775;21.01.2012
22;3837,282531;4191;22.01.2012
23;46279,95708;48641;23.01.2012
24;41056,86753;41459;24.01.2012
25;36334,42133;35756;25.01.2012
26;34040,81415;32747;26.01.2012
27;33233,44837;32201;27.01.2012
28;33008,72107;31071;28.01.2012
29;3175,502761;3064;29.01.2012
30;43588,19181;45560;30.01.2012
31;42329,41213;41270;31.01.2012
32;34004,77541;29399;01.02.2012
33;25972,10097;20601;02.02.2012
34;26844,26395;22230;03.02.2012
35;25140,91247;19584;04.02.2012
36;2432,732172;1804;05.02.2012
37;31185,87731;24993;06.02.2012
38;29673,88416;23611;07.02.2012
39;27623,27512;21500;08.02.2012
40;27905,86502;23102;09.02.2012
41;32715,59734;29439;10.02.2012
42;36103,40297;33602;11.02.2012
43;3810,391693;3702;12.02.2012
44;42680,30024;46738;13.02.2012
45;47045,61058;53088;14.02.2012
46;52582,62943;60156;15.02.2012
47;56456,18521;64599;16.02.2012
48;57731,76334;67997;17.02.2012
49;55474,53617;60862;18.02.2012
50;5605,03098;6208;19.02.2012
51;60351,96162;66448;20.02.2012
52;50460,5873;50806;21.02.2012
53;42891,56145;42604;22.02.2012
54;976,247352;869;23.02.2012
55;42392,50781;41660;24.02.2012
56;35560,75229;34550;25.02.2012
57;3340,076724;3302;26.02.2012
58;47943,20013;48925;27.02.2012
59;45656,6784;44874;28.02.2012
60;46918,70758;48089;29.02.2012
61;38696,03241;35306;01.03.2012
62;29018,70666;25553;02.03.2012
63;30959,69046;26244;03.03.2012
64;2396,407157;2053;04.03.2012
65;32170,50131;27600;05.03.2012
66;29996,42536;25951;06.03.2012
67;26954,73099;23808;07.03.2012
68;269,4284132;244;08.03.2012
69;1929,378123;1831;09.03.2012
70;12268,03927;11071;10.03.2012
71;32977,1761;27907;11.03.2012
72;35935,68392;33158;12.03.2012
73;39172,32863;41835;13.03.2012
74;46387,50623;55594;14.03.2012
75;49412,68307;62487;15.03.2012
76;52327,27127;68077;16.03.2012
77;53091,6126;64027;17.03.2012
78;5814,121953;7002;18.03.2012
79;58432,49378;72965;19.03.2012
80;57053,1337;65273;20.03.2012
81;50191,62696;53634;21.03.2012
82;40272,95115;42212;22.03.2012
83;34837,7063;36454;23.03.2012
84;34699,53737;34427;24.03.2012
85;3458,377914;3686;25.03.2012
86;39215,39346;40289;26.03.2012
87;33492,51974;33000;27.03.2012
88;31727,3372;31295;28.03.2012
89;30478,14518;30330;29.03.2012
90;32168,37299;33383;30.03.2012
91;33111,51366;33518;31.03.2012
92;2954,482196;2802;01.04.2012
93;36222,40732;33827;02.04.2012
94;30735,96032;26841;03.04.2012
95;27096,12042;22820;04.04.2012
96;26303,66814;21562;05.04.2012
97;25405,68719;21200;06.04.2012
98;23446,95008;19527;07.04.2012
99;2268,155636;2025;08.04.2012
100;33400,61448;31283;09.04.2012
101;33671,12398;32878;10.04.2012
102;35056,81772;36895;11.04.2012
103;36244,37925;41326;12.04.2012
104;39339,61962;47890;13.04.2012
105;33833,52634;40377;14.04.2012
106;2763,375524;3350;15.04.2012
107;44977,79141;59919;16.04.2012
108;52899,28184;66609;17.04.2012
109;53191,3464;67240;18.04.2012
110;53320,16347;63763;19.04.2012
111;44762,78083;52568;20.04.2012
112;35025,14342;38785;21.04.2012
113;3407,979442;4209;22.04.2012
114;41827,91575;47617;23.04.2012
115;36060,09309;38383;24.04.2012
116;37372,31222;39806;25.04.2012
117;31881,38258;33150;26.04.2012
118;37176,81343;40442;27.04.2012
119;40178,11133;45237;28.04.2012
120;3738,127235;4152;29.04.2012
121;11912,27683;13824;30.04.2012
122;645,6351954;668;01.05.2012
123;38739,57558;40649;02.05.2012
124;34427,39335;33386;03.05.2012
125;31649,64948;29905;04.05.2012
126;28142,96613;26113;05.05.2012
127;2533,461767;2377;06.05.2012
128;9180,790776;8983;07.05.2012
129;6191,132655;6189;08.05.2012
130;347,2137114;314;09.05.2012
131;32267,55761;32623;10.05.2012
132;29800,764;29327;11.05.2012
133;34552,51262;37650;12.05.2012
134;4100,886608;4983;13.05.2012
135;48213,51159;61156;14.05.2012
136;49964,39938;65448;15.05.2012
137;51311,69552;66858;16.05.2012
138;49609,38443;64382;17.05.2012
139;49218,78031;65806;18.05.2012
140;42341,09802;52742;19.05.2012
141;4362,895307;6039;20.05.2012
142;45790,11312;56784;21.05.2012
143;42558,12852;48704;22.05.2012
144;36828,66342;40910;23.05.2012
145;33774,56095;37365;24.05.2012
146;30658,28096;33473;25.05.2012
147;23145,55342;24191;26.05.2012
148;2205,139684;2408;27.05.2012
149;34212,66232;38346;28.05.2012
150;31846,94356;34129;29.05.2012
151;26952,05768;27967;30.05.2012
152;38788,24713;40018;31.05.2012
153;29799,67873;28881;01.06.2012
154;18797,10089;16864;02.06.2012
155;799,201259;761;03.06.2012
156;32299,35898;30765;04.06.2012
157;29672,2196;26449;05.06.2012
158;26897,49466;23519;06.06.2012
159;24475,30281;21874;07.06.2012
160;25322,80019;23501;08.06.2012
161;27158,13588;27044;09.06.2012
162;1049,003938;1060;10.06.2012
163;11070,76627;13618;11.06.2012
164;690,5292154;761;12.06.2012
165;40961,40705;53100;13.06.2012
166;43926,00149;58755;14.06.2012
167;44413,22019;61186;15.06.2012
168;38331,74403;51536;16.06.2012
169;1328,765909;1690;17.06.2012